pipeline_type,opt_sequence,circuit_type,num_qubits,status,error,Gate Count,Circuit Depth,2Q Count,2Q Depth
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,Amplitude Estimation Circuit,10,success,,8013.0,6818.0,1193.0,1136.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,Amplitude Estimation Circuit,15,success,,246586.0,213302.0,33230.0,32993.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,Quantum Phase Estimation Circuit,5,success,,91.0,68.0,32.0,32.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,Quantum Phase Estimation Circuit,10,success,,369.0,187.0,182.0,117.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,Quantum Phase Estimation Circuit,15,success,,906.0,374.0,492.0,252.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,Quantum Phase Estimation Circuit,20,success,,1663.0,627.0,959.0,418.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,W State Circuit,5,success,,78.0,46.0,8.0,6.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,W State Circuit,10,success,,173.0,91.0,18.0,11.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,W State Circuit,15,success,,268.0,136.0,28.0,16.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,W State Circuit,20,success,,363.0,181.0,38.0,21.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,Half Adder Circuit,5,success,,72.0,58.0,34.0,33.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,Half Adder Circuit,15,success,,945.0,493.0,384.0,224.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,BV Circuit,5,success,,31.0,16.0,2.0,2.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,BV Circuit,10,success,,65.0,33.0,7.0,7.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,BV Circuit,15,success,,118.0,54.0,19.0,15.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,BV Circuit,20,success,,152.0,80.0,24.0,24.0
