circuit_type,num_qubits,ordering,baseline_depth,baseline_gates,baseline_2q,status,error,step0_sdk,step0_converged_iters,step0_depth,step0_gates,step0_2q,step1_sdk,step1_depth,step1_gates,step1_2q,step2_sdk,step2_depth,step2_gates,step2_2q,step1_residual_pct,step2_residual_pct
GHZ Circuit,10,TKet -> Qiskit -> BQSKit,13,22,9,success,,TKet,2,11,20,9,Qiskit,13.0,22.0,9.0,BQSKit,10.0,10.0,9.0,-18.18,23.08
GHZ Circuit,10,TKet -> BQSKit -> Qiskit,13,22,9,success,,TKet,2,11,20,9,BQSKit,9.0,9.0,9.0,Qiskit,9.0,9.0,9.0,18.18,0.0
GHZ Circuit,10,BQSKit -> Qiskit -> TKet,13,22,9,success,,BQSKit,2,10,10,9,Qiskit,10.0,10.0,9.0,TKet,10.0,10.0,9.0,0.0,0.0
GHZ Circuit,10,BQSKit -> TKet -> Qiskit,13,22,9,success,,BQSKit,2,10,10,9,TKet,10.0,10.0,9.0,Qiskit,10.0,10.0,9.0,0.0,0.0
Grover Circuit,10,Qiskit -> TKet -> BQSKit,46168,59586,31923,success,,Qiskit,2,39480,51255,29239,TKet,20080.0,25845.0,12875.0,BQSKit,,,,49.14,
Grover Circuit,10,Qiskit -> BQSKit -> TKet,46168,59586,31923,success,,Qiskit,2,39480,51255,29239,BQSKit,,,,TKet,20080.0,25845.0,12875.0,,
Grover Circuit,10,TKet -> Qiskit -> BQSKit,46168,59586,31923,success,,TKet,2,19943,26075,13004,Qiskit,25975.0,34898.0,13004.0,BQSKit,,,,-30.25,
Grover Circuit,10,TKet -> BQSKit -> Qiskit,46168,59586,31923,success,,TKet,2,19943,26075,13004,BQSKit,,,,Qiskit,25975.0,34898.0,13004.0,,
Grover Circuit,10,BQSKit -> Qiskit -> TKet,46168,59586,31923,success,,BQSKit,10,46168,59586,31923,Qiskit,39480.0,51264.0,29239.0,TKet,20080.0,25845.0,12875.0,14.49,49.14
Grover Circuit,10,BQSKit -> TKet -> Qiskit,46168,59586,31923,success,,BQSKit,10,46168,59586,31923,TKet,19943.0,26075.0,13004.0,Qiskit,25975.0,34898.0,13004.0,56.8,-30.25
QFT Circuit,10,Qiskit -> TKet -> BQSKit,184,364,189,success,,Qiskit,2,164,326,181,TKet,79.0,217.0,90.0,BQSKit,,,,51.83,
QFT Circuit,10,Qiskit -> BQSKit -> TKet,184,364,189,success,,Qiskit,2,164,326,181,BQSKit,,,,TKet,79.0,217.0,90.0,,
QFT Circuit,10,TKet -> Qiskit -> BQSKit,184,364,189,success,,TKet,2,79,216,90,Qiskit,104.0,309.0,90.0,BQSKit,,,,-31.65,
QFT Circuit,10,TKet -> BQSKit -> Qiskit,184,364,189,success,,TKet,2,79,216,90,BQSKit,,,,Qiskit,104.0,309.0,90.0,,
QFT Circuit,10,BQSKit -> Qiskit -> TKet,184,364,189,success,,BQSKit,10,184,364,189,Qiskit,164.0,326.0,181.0,TKet,79.0,217.0,90.0,10.87,51.83
QFT Circuit,10,BQSKit -> TKet -> Qiskit,184,364,189,success,,BQSKit,10,184,364,189,TKet,79.0,216.0,90.0,Qiskit,104.0,309.0,90.0,57.07,-31.65
Amplitude Estimation Circuit,10,Qiskit -> TKet -> BQSKit,6818,8013,1193,success,,Qiskit,2,5275,5432,1189,TKet,93.0,228.0,90.0,BQSKit,,,,98.24,
Amplitude Estimation Circuit,10,Qiskit -> BQSKit -> TKet,6818,8013,1193,success,,Qiskit,2,5275,5432,1189,BQSKit,,,,TKet,93.0,228.0,90.0,,
Amplitude Estimation Circuit,10,TKet -> Qiskit -> BQSKit,6818,8013,1193,success,,TKet,2,92,228,90,Qiskit,149.0,361.0,90.0,BQSKit,,,,-61.96,
Amplitude Estimation Circuit,10,TKet -> BQSKit -> Qiskit,6818,8013,1193,success,,TKet,2,92,228,90,BQSKit,,,,Qiskit,149.0,361.0,90.0,,
Amplitude Estimation Circuit,10,BQSKit -> Qiskit -> TKet,6818,8013,1193,success,,BQSKit,10,6818,8013,1193,Qiskit,5275.0,5432.0,1189.0,TKet,93.0,228.0,90.0,22.63,98.24
Amplitude Estimation Circuit,10,BQSKit -> TKet -> Qiskit,6818,8013,1193,success,,BQSKit,10,6818,8013,1193,TKet,92.0,228.0,90.0,Qiskit,149.0,361.0,90.0,98.65,-61.96
Quantum Phase Estimation Circuit,10,Qiskit -> TKet -> BQSKit,187,369,182,success,,Qiskit,2,173,336,176,TKet,74.0,214.0,85.0,BQSKit,,,,57.23,
Quantum Phase Estimation Circuit,10,Qiskit -> BQSKit -> TKet,187,369,182,success,,Qiskit,2,173,336,176,BQSKit,,,,TKet,74.0,214.0,85.0,,
Quantum Phase Estimation Circuit,10,TKet -> Qiskit -> BQSKit,187,369,182,success,,TKet,2,74,214,85,Qiskit,107.0,298.0,85.0,BQSKit,,,,-44.59,
Quantum Phase Estimation Circuit,10,TKet -> BQSKit -> Qiskit,187,369,182,success,,TKet,2,74,214,85,BQSKit,,,,Qiskit,107.0,298.0,85.0,,
Quantum Phase Estimation Circuit,10,BQSKit -> Qiskit -> TKet,187,369,182,success,,BQSKit,10,187,369,182,Qiskit,173.0,336.0,176.0,TKet,74.0,214.0,85.0,7.49,57.23
Quantum Phase Estimation Circuit,10,BQSKit -> TKet -> Qiskit,187,369,182,success,,BQSKit,10,187,369,182,TKet,74.0,214.0,85.0,Qiskit,107.0,298.0,85.0,60.43,-44.59
W State Circuit,10,Qiskit -> TKet -> BQSKit,91,173,18,success,,Qiskit,2,41,83,18,TKet,21.0,47.0,18.0,BQSKit,,,,48.78,
W State Circuit,10,Qiskit -> BQSKit -> TKet,91,173,18,success,,Qiskit,2,41,83,18,BQSKit,,,,TKet,21.0,47.0,18.0,,
W State Circuit,10,TKet -> Qiskit -> BQSKit,91,173,18,success,,TKet,2,21,47,18,Qiskit,41.0,83.0,18.0,BQSKit,,,,-95.24,
W State Circuit,10,TKet -> BQSKit -> Qiskit,91,173,18,success,,TKet,2,21,47,18,BQSKit,,,,Qiskit,41.0,83.0,18.0,,
W State Circuit,10,BQSKit -> Qiskit -> TKet,91,173,18,success,,BQSKit,10,91,173,18,Qiskit,41.0,83.0,18.0,TKet,21.0,47.0,18.0,54.95,48.78
W State Circuit,10,BQSKit -> TKet -> Qiskit,91,173,18,success,,BQSKit,10,91,173,18,TKet,21.0,47.0,18.0,Qiskit,41.0,83.0,18.0,76.92,-95.24
BV Circuit,10,Qiskit -> TKet -> BQSKit,33,65,7,success,,Qiskit,2,20,49,7,TKet,7.0,23.0,4.0,BQSKit,5.0,7.0,4.0,65.0,28.57
BV Circuit,10,Qiskit -> BQSKit -> TKet,33,65,7,success,,Qiskit,2,20,49,7,BQSKit,11.0,20.0,7.0,TKet,6.0,12.0,4.0,45.0,45.45
BV Circuit,10,TKet -> Qiskit -> BQSKit,33,65,7,success,,TKet,2,7,23,4,Qiskit,11.0,39.0,4.0,BQSKit,7.0,15.0,4.0,-57.14,36.36
BV Circuit,10,TKet -> BQSKit -> Qiskit,33,65,7,success,,TKet,2,7,23,4,BQSKit,5.0,7.0,4.0,Qiskit,4.0,4.0,4.0,28.57,20.0
BV Circuit,10,BQSKit -> Qiskit -> TKet,33,65,7,success,,BQSKit,3,15,23,7,Qiskit,11.0,19.0,7.0,TKet,6.0,12.0,4.0,26.67,45.45
BV Circuit,10,BQSKit -> TKet -> Qiskit,33,65,7,success,,BQSKit,3,15,23,7,TKet,6.0,12.0,4.0,Qiskit,6.0,12.0,4.0,60.0,0.0
Graph State Circuit,10,Qiskit -> TKet -> BQSKit,34,125,25,success,,Qiskit,2,31,89,25,TKet,11.0,32.0,10.0,BQSKit,,,,64.52,
Graph State Circuit,10,Qiskit -> BQSKit -> TKet,34,125,25,success,,Qiskit,2,31,89,25,BQSKit,,,,TKet,11.0,32.0,10.0,,
Graph State Circuit,10,TKet -> Qiskit -> BQSKit,34,125,25,success,,TKet,2,11,32,10,Qiskit,20.0,55.0,10.0,BQSKit,,,,-81.82,
Graph State Circuit,10,TKet -> BQSKit -> Qiskit,34,125,25,success,,TKet,2,11,32,10,BQSKit,,,,Qiskit,20.0,55.0,10.0,,
Graph State Circuit,10,BQSKit -> Qiskit -> TKet,34,125,25,success,,BQSKit,10,34,125,25,Qiskit,31.0,89.0,25.0,TKet,11.0,32.0,10.0,8.82,64.52
Graph State Circuit,10,BQSKit -> TKet -> Qiskit,34,125,25,success,,BQSKit,10,34,125,25,TKet,11.0,32.0,10.0,Qiskit,20.0,55.0,10.0,67.65,-81.82
